,date,Last,high,low,open,volume
502,2019-12-04 00:00:00+05:30,583.65,588,577.1,584.9,2198714
503,2019-12-05 00:00:00+05:30,575.9,585.7,575,585.45,1929160
504,2019-12-06 00:00:00+05:30,575,579.2,571.25,577.75,2127676
505,2019-12-09 00:00:00+05:30,572.5,576.75,570.1,576.7,1591039
506,2019-12-10 00:00:00+05:30,570.5,586.5,569.05,577.15,4061646
507,2019-12-11 00:00:00+05:30,572.5,575,565.5,573.4,2289830
508,2019-12-12 00:00:00+05:30,582.9,585.65,571.05,576.75,2941825
509,2019-12-13 00:00:00+05:30,588.9,595.1,585.7,585.7,2095278
510,2019-12-16 00:00:00+05:30,592.1,594.9,586.6,588.5,1408707
511,2019-12-17 00:00:00+05:30,595.6,600,586.2,595.15,1636039
512,2019-12-18 00:00:00+05:30,601.5,604.8,588.2,599,3092926
513,2019-12-19 00:00:00+05:30,605.25,609.25,598.5,602,2743666
514,2019-12-20 00:00:00+05:30,612.7,616,603,606,3239394
515,2019-12-23 00:00:00+05:30,616.15,621,609,615.1,2325450
516,2019-12-24 00:00:00+05:30,625.3,627.6,613.4,618.1,2938173
517,2019-12-26 00:00:00+05:30,635.6,639,623.1,627.9,3006668
518,2019-12-27 00:00:00+05:30,631.4,639,628.55,639,2494965
519,2019-12-30 00:00:00+05:30,636.15,638.75,629,632.7,1799682
520,2019-12-31 00:00:00+05:30,626.05,646,620.75,637.9,2217822
521,2020-01-01 00:00:00+05:30,621.45,626,616.35,623,1749377
522,2020-01-02 00:00:00+05:30,634.25,638.8,618.4,622.7,1973981
523,2020-01-03 00:00:00+05:30,630.7,637.45,626.4,631,2401828
524,2020-01-06 00:00:00+05:30,619.55,627.4,611.5,627.4,4175516
525,2020-01-07 00:00:00+05:30,629.95,643.7,623.6,623.6,2827658
526,2020-01-08 00:00:00+05:30,628.85,631.8,618.5,622,2248332
527,2020-01-09 00:00:00+05:30,631.5,636.5,627.8,635,1338705
528,2020-01-10 00:00:00+05:30,623.1,634,618.75,632.4,2181852
529,2020-01-13 00:00:00+05:30,625.4,633.05,623.6,627.9,1161466
530,2020-01-14 00:00:00+05:30,614.25,627,612.75,626.5,2109229
531,2020-01-15 00:00:00+05:30,616.55,620.5,612.75,614,1621297
532,2020-01-16 00:00:00+05:30,607.5,625,605.8,624,3196222
533,2020-01-17 00:00:00+05:30,607.65,611.55,601.7,607.5,2313300
534,2020-01-20 00:00:00+05:30,598.25,612.45,597.1,611,1870028
535,2020-01-21 00:00:00+05:30,602,609.7,594.15,595.7,1597879
536,2020-01-22 00:00:00+05:30,612.75,616.5,602.65,604.9,2066862
537,2020-01-23 00:00:00+05:30,616,621.9,611.5,614.3,1685313
538,2020-01-24 00:00:00+05:30,607.25,611.25,602.8,607.9,2188192
539,2020-01-27 00:00:00+05:30,599.7,605.7,598.1,604.8,1531808
540,2020-01-28 00:00:00+05:30,603.75,611.9,599,601,1651481
541,2020-01-29 00:00:00+05:30,605.05,611,602.25,605.95,1324538
542,2020-01-30 00:00:00+05:30,600.45,608.55,597.15,605.9,1060111
543,2020-01-31 00:00:00+05:30,599.2,604.45,597.3,603.1,1260667
544,2020-02-01 00:00:00+05:30,562.4,609,537.9,598.2,7823819
545,2020-02-03 00:00:00+05:30,565.3,573,527.5,553,9688974
546,2020-02-04 00:00:00+05:30,573.1,578.45,555.55,568,3116053
547,2020-02-05 00:00:00+05:30,583.45,586.35,565,574.4,2739852
548,2020-02-06 00:00:00+05:30,593.65,598.7,587,587,2299958
